name,ID_Number,Age,Site_ID
Jane Smith,2003051609,40,1
Anthony Moore,3551191930,35,1
John Doe,4762382165,30,0
Jane Smith,6721197269,30,1
Anthony Moore,4952470363,30,1
John Doe,3092730378,35,0
Anthony Moore,8942693530,45,1
Jane Smith,9925160721,35,0
Anthony Moore,9520098885,30,0
Anthony Moore,6637452284,30,1
Jane Smith,0762172019,24,0
Jane Smith,4308253205,30,0
Jane Smith,0975262718,30,0
John Doe,0810116737,40,0
John Doe,0781861596,40,1
Jane Smith,0237175938,45,1
Jane Smith,8093361155,45,1
Anthony Moore,8020060784,24,0
Jane Smith,0104656457,40,1
John Doe,5185771251,30,0
Jane Smith,6003078177,24,1
Anthony Moore,7051276750,35,1
Jane Smith,1262625379,45,0
John Doe,8752389727,45,1
Anthony Moore,6301408399,35,0
Jane Smith,0252748639,40,0
John Doe,5498245269,45,1
John Doe,7475988495,24,1
Jane Smith,8259450541,35,1
Anthony Moore,0011369077,30,0
Anthony Moore,3046042726,30,1
John Doe,2527132251,40,1
John Doe,6756752063,45,0
Anthony Moore,4089863916,35,1
Anthony Moore,2518365981,40,1
John Doe,6029056334,45,1
Jane Smith,8426414123,40,1
Jane Smith,8558436845,24,1
Jane Smith,7965765135,45,0
John Doe,9516706531,24,0
Anthony Moore,8270533939,24,0
Jane Smith,5393941011,24,0
John Doe,7528844864,24,1
Anthony Moore,6335894929,30,0
Jane Smith,4070381218,45,1
Anthony Moore,9791285768,35,0
Anthony Moore,2659913127,30,0
John Doe,9424757845,45,0
Jane Smith,3686861969,30,1
Jane Smith,8708379151,24,0
Anthony Moore,1720615162,35,1
Anthony Moore,8059690916,30,0
Anthony Moore,8898453960,24,1
John Doe,4190361938,30,0
Jane Smith,8720323265,30,1
Jane Smith,7712987688,24,0
Jane Smith,2510746679,30,1
Jane Smith,8449299676,35,1
Jane Smith,5608468076,30,0
John Doe,2369922390,40,1
Jane Smith,8235389203,24,1
Anthony Moore,7915359378,40,0
Jane Smith,5263600177,30,0
Anthony Moore,4181536123,30,1
John Doe,4329124862,40,1
Jane Smith,8860651026,30,1
Jane Smith,3479305506,35,1
Jane Smith,8632556136,24,0
Jane Smith,5101975181,45,0
Anthony Moore,4053028374,24,0
Jane Smith,4543775538,35,0
Anthony Moore,8808298542,24,1
Jane Smith,1888658955,35,0
Jane Smith,7732182156,45,1
John Doe,8839008718,40,0
Jane Smith,3180039666,45,0
Jane Smith,7272856557,24,1
Jane Smith,4659986909,35,1
John Doe,8976114320,24,1
Anthony Moore,8936864415,45,1
John Doe,5290994006,45,1
Anthony Moore,5190143595,40,1
John Doe,4980141194,24,1
Anthony Moore,6988248808,35,0
Anthony Moore,3429988129,45,0
John Doe,9857482722,45,1
John Doe,8102179821,24,1
John Doe,7395610955,35,0
Jane Smith,1265641414,40,1
Anthony Moore,8225108121,24,1
Jane Smith,6037785224,40,1
Jane Smith,3953964662,35,1
Anthony Moore,0482251139,30,1
Jane Smith,6335214901,45,1
Anthony Moore,8015500775,40,0
John Doe,4542540868,24,0
Anthony Moore,9275518134,35,0
Anthony Moore,7307672676,35,1
Anthony Moore,8614486621,30,0
Anthony Moore,9660531980,45,1
John Doe,3430368730,30,0
Jane Smith,3055631337,45,0
Anthony Moore,1845370683,40,0
John Doe,8847864113,30,0
John Doe,8997323407,40,0
Anthony Moore,9651865453,30,1
John Doe,3353315624,24,0
Anthony Moore,3997775550,40,1
Anthony Moore,0979151585,40,1
Anthony Moore,4834791129,35,1
Jane Smith,2423093725,40,0
Jane Smith,6432401405,30,1
Jane Smith,7885295108,30,1
Anthony Moore,1743565617,45,1
Jane Smith,2139892728,30,0
Jane Smith,0501096241,45,1
Jane Smith,9159404403,24,1
Jane Smith,0346935347,45,1
John Doe,1796982729,35,1
Anthony Moore,0110388373,40,1
Jane Smith,0898183013,24,1
John Doe,3599099857,40,1
Anthony Moore,4970877122,24,1
John Doe,6501605045,40,1
Anthony Moore,7018847149,30,0
Anthony Moore,9255021197,45,1
John Doe,7439037688,45,1
Anthony Moore,4486892825,30,1
John Doe,6299665512,35,0
John Doe,1074283853,35,0
Jane Smith,4275154758,35,1
Anthony Moore,3409534220,30,0
Anthony Moore,7480729571,40,1
John Doe,9076402950,24,0
Jane Smith,5288424338,30,1
John Doe,7284241093,45,1
Jane Smith,6815768833,40,0
John Doe,7839112740,40,1
John Doe,6210573496,24,1
Anthony Moore,4556812892,40,0
John Doe,9466966266,30,0
Jane Smith,2002841066,45,0
Anthony Moore,8654367694,30,1
John Doe,3778655894,40,1
Anthony Moore,9138752042,24,1
Jane Smith,1206511983,45,0
Jane Smith,6033846469,45,1
Anthony Moore,9219685052,24,1
John Doe,8574989426,45,1
John Doe,1242385496,24,0
John Doe,9265917010,24,1
Anthony Moore,4464445174,24,0
Jane Smith,2717326688,30,1
Anthony Moore,7048865487,40,0
John Doe,7061362656,24,1
Jane Smith,9882671619,35,1
Anthony Moore,0655734392,40,1
Jane Smith,8806512879,45,0
John Doe,4518239652,40,1
Anthony Moore,0051055949,40,0
Anthony Moore,4508007329,30,1
Jane Smith,1515746208,24,0
Jane Smith,9296997322,24,1
Anthony Moore,6276761027,45,0
John Doe,5976998187,35,1
Jane Smith,3213949950,45,1
Jane Smith,2636304452,45,0
Anthony Moore,4817403707,40,1
Anthony Moore,2840081287,45,1
John Doe,2921477283,45,1
Anthony Moore,5408554504,40,1
Jane Smith,3854621663,35,0
Anthony Moore,3618485718,35,1
Anthony Moore,9278580914,30,1
Jane Smith,6355009942,45,0
Jane Smith,7683967379,35,1
Anthony Moore,7256561070,40,0
John Doe,6281600143,35,1
John Doe,3177291107,35,1
Anthony Moore,3818820329,45,1
Jane Smith,9921299254,40,0
John Doe,6146524495,45,1
Anthony Moore,0893897979,24,1
Anthony Moore,5056038726,35,0
John Doe,8483845102,40,1
Anthony Moore,2359821717,45,0
Anthony Moore,5429607952,40,1
Jane Smith,9585976295,40,1
John Doe,7450400574,40,1
Anthony Moore,0448950802,30,0
Anthony Moore,6689250965,45,1
Jane Smith,3719416109,35,0
Anthony Moore,1363986254,30,0
Anthony Moore,0699757455,30,0
Jane Smith,1356759218,35,0
Anthony Moore,3917956000,35,1
John Doe,2964728456,35,1
Anthony Moore,8628168975,35,1
Jane Smith,4275547144,30,1
Anthony Moore,7383086354,30,1
Anthony Moore,9295687642,24,0
John Doe,6535616667,40,0
John Doe,5364762437,45,1
John Doe,5394082519,24,1
Anthony Moore,5822742759,35,0
John Doe,8361632135,35,1
Jane Smith,2234420732,24,1
Anthony Moore,1372857255,30,0
Anthony Moore,0426642322,45,1
Jane Smith,1523671611,45,1
John Doe,0729041079,35,1
Jane Smith,2959524153,35,1
Jane Smith,9643409031,45,1
Jane Smith,9199810971,40,1
John Doe,6595933779,40,0
Anthony Moore,7291222164,24,0
John Doe,1362132212,35,0
Jane Smith,3626067890,30,0
Jane Smith,7132910601,35,0
John Doe,3776632448,40,1
Anthony Moore,2806571086,40,1
John Doe,7103231505,35,0
Anthony Moore,4307229797,40,0
John Doe,9921171932,45,1
Jane Smith,6768921579,24,0
Jane Smith,0230693905,30,0
Jane Smith,6951830492,40,1
John Doe,4204737918,24,1
Jane Smith,2995435263,24,1
Anthony Moore,8108070690,40,0
John Doe,2812302421,35,1
Jane Smith,1765204442,30,0
John Doe,5170714196,35,1
Anthony Moore,5079412426,30,0
Anthony Moore,4849667507,45,1
Anthony Moore,5176680537,40,1
Anthony Moore,3565398441,24,1
John Doe,2021400215,40,1
Jane Smith,6842279205,45,1
Anthony Moore,7650153164,40,0
Jane Smith,4711630950,30,0
Anthony Moore,4384447734,45,1
